"DISTRITO","REGIMEN","PROVINCIA","CODIGO.AMIE","INSTITUCION","BAJO.MATRICULA.USD","BAJO.PENSION.USD","X36MESES.MATRICULA.USD","X36.MESES.PENSION.USD","INICIAL.MATRICULA.USD","INICIAL.PENSION.USD","BASICA.MATRICULA.USD","BASICA.PENSION.USD","BASICASUP.MATRICULA.USD","BASICASUP.PENSION.USD","BACH.MATRICULA.USD","BACH.PENSION.USD"
"17D02","COSTA","PICHINCHA","17H04108","INSTICION EDUCATIVA PCEI SECOMSYS",0,0,0,0,0,0,0,0,28.35,45.36,28.35,45.36
"17D03","COSTA","PICHINCHA","17H00044","COLEGIO PARTICULAR JERICÓ",0,0,0,0,0,0,0,0,30.47,48.75,30.47,48.75
"17D03","COSTA","PICHINCHA","17H00076","EDUCACIÓN SIGLO XXI",0,0,0,0,0,0,0,0,25.65,41.04,25.65,41.04
"17D03","COSTA","PICHINCHA","17H03637","COLEGIO PARTICULAR DAVID AUSUBEL",0,0,0,0,0,0,0,0,21.87,34.99,21.87,34.99
"17D03","COSTA","PICHINCHA","17H04117","COLEGIO PARTICULAR A DISTANCIA JOSE MARTI",0,0,0,0,0,0,0,0,22.28,35.64,22.28,35.64
"17D04","COSTA","PICHINCHA","17H00728","UNIDAD EDUCATIVA A DISTANCIA SEGUNDO TORRES",0,0,0,0,0,0,0,0,54.54,87.26,54.54,87.26
"17D04","COSTA","PICHINCHA","17H00888","COLEGIO PARTICULAR A DISTANCIA OCTAVIO PAZ",0,0,0,0,0,0,0,0,21.88,35,21.88,35
"17D05","COSTA","PICHINCHA","17H03198","COLEGIO ESTADOS UNIDOS DE NORTEAMERICA",0,0,0,0,174.02,278.44,174.02,278.44,174.02,278.44,174.02,278.44
"17D05","COSTA","PICHINCHA","17H03305","COLEGIO POPULAR PARTICULAR VIRTUAL A DISTANCIA IBEROAMERICANO",0,0,0,0,0,0,0,0,27.36,43.78,27.36,43.78
"17D05","COSTA","PICHINCHA","17H03359","INSTITUCIÓN EDUCATIVA PCEI GALATAS",0,0,0,0,0,0,0,0,25.54,40.87,25.54,40.87
"17D05","COSTA","PICHINCHA","17H03562","UNIDAD EDUCATIVA PARTICULAR SAN FRANCISCO DE ASÍS",0,0,0,0,0,0,0,0,15.24,24.38,24.38,39
"17D05","COSTA","PICHINCHA","17H03660","INSTITUCIÓN EDUCATIVA PARTICULAR A DISTANCIA ALFREDO PAREJA DIEZCANSECO",0,0,0,0,0,0,0,0,30.96,49.53,30.96,49.53
"17D05","COSTA","PICHINCHA","17H03699","COLEGIO POPULAR PARTICULAR A DISTANCIA COMPUINFORMATICA",0,0,0,0,0,0,0,0,16.2,25.92,16.2,25.92
"17D05","COSTA","PICHINCHA","17H03704","INSTITUCIÓN EDUCATIVA NUEVO ECUADOR",0,0,0,0,0,0,0,0,27.5,44,27.5,44
"17D07","COSTA","PICHINCHA","17H03618","COLEGIO A DISTANCIA SAN JUAN PABLO II",0,0,0,0,0,0,0,0,19.25,30.8,19.25,30.8
"17D08","COSTA","PICHINCHA","17H01704","UNIDAD EDUCATIVA DE FUERZAS ARMADAS LICEO NAVAL QUITO COMANDANTE CESAR ENDARA PEÑAHERRERA",0,0,0,0,70.23,112.37,70.23,112.37,70.23,112.37,70.23,112.37
"09D01","COSTA","GUAYAS","09H00124","UNIDAD EDUCATIVA CIENCIA Y FE",0,0,0,0,65.62,105,65.62,105,65.62,105,78.12,125
"09D01","COSTA","GUAYAS","09H00124","UNIDAD EDUCATIVA CIENCIA Y FE (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,70.46,112.74,70.46,112.74,70.46,112.74,83.13,133
"09D01","COSTA","GUAYAS","09H00167","LICENCIADO FAUSTO VALDIVIEZO MOSCOSO",0,0,0,0,0,0,15.59,24.95,0,0,0,0
"09D01","COSTA","GUAYAS","09H00183","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR MADRE DE DIOS",0,0,0,0,0,0,18.76,30.02,20.64,33.02,0,0
"09D01","COSTA","GUAYAS","09H01966","UNIDAD EDUCATIVA NUEVA SEMILLA",0,0,0,0,125.31,200.5,141.01,225.62,141.01,225.62,156.06,249.7
"09D01","COSTA","GUAYAS","09H01981","UNIDAD EDUCATIVA SALESIANA CRISTOBAL COLÓN",0,0,0,0,0,0,121.62,194.59,121.62,194.59,127.57,204.12
"09D01","COSTA","GUAYAS","09H01996","PARVULITOS DE JESÚS",0,0,0,0,19,30.4,19,30.4,0,0,0,0
"09D01","COSTA","GUAYAS","09H01998","ESCUELA PARTICULAR MI NUEVO MUNDO",0,0,0,0,0,0,20.62,33,0,0,0,0
"09D01","COSTA","GUAYAS","09H01999","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR NICOLAS ZAMBRANO ALVAREZ",0,0,0,0,47.79,76.47,47.79,76.47,0,0,0,0
"09D01","COSTA","GUAYAS","09H02000","ROSA BORJA DE ICAZA",0,0,0,0,17.32,27.72,17.32,27.72,0,0,0,0
"09D01","COSTA","GUAYAS","09H02004","ESCUELA DE EDUCACIÓN BÁSICA LUZ ELISA BORJA",0,0,0,0,19.7,31.52,27.58,44.13,0,0,0,0
"09D01","COSTA","GUAYAS","09H02006","UNIDAD EDUCATIVA BILINGUE DE LA INMACULADA",0,0,0,0,111.22,177.95,113.16,181.05,135.4,216.64,135.4,216.64
"09D01","COSTA","GUAYAS","09H02007","ESCUELA DE EDUCACIÓN BÁSICA CARMEN ACEVEDO",0,0,0,0,39.51,63.22,39.51,63.22,39.51,63.22,0,0
"09D01","COSTA","GUAYAS","09H02008","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR LCDA IRLANDA DEL CARMEN CEVALLOS VALDEZ PARTICULAR",0,0,0,0,0,0,26.47,42.35,26.47,42.35,0,0
"09D01","COSTA","GUAYAS","09H02009","UNIDAD EDUCATIVA SALESIANA FISCOMISIONAL DOMINGO COMIN",0,0,0,0,0,0,83.83,134.12,83.83,134.12,86.72,138.75
"09D01","COSTA","GUAYAS","09H02011","UNIDAD EDUCATIVA ATENAS INTERNATIONAL SCHOOL",0,0,0,0,83.73,133.97,89.64,143.43,89.64,143.43,100.48,160.77
"09D01","COSTA","GUAYAS","09H02019","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR LICEO PANAMERICANO CENTENARÍO",0,0,200.74,321.18,200.74,321.18,232.86,372.57,232.86,372.57,0,0
"09D01","COSTA","GUAYAS","09H02055","UNIDAD EDUCATIVA HISPANOAMERIANO",0,0,0,0,0,0,0,0,53.15,85.04,53.15,85.04
"09D01","COSTA","GUAYAS","09H02060","ESCUELA DE EDUCACIÓN BÁSICA GUAYAS Y QUIL",0,0,0,0,26.97,43.15,26.63,42.6,0,0,0,0
"09D01","COSTA","GUAYAS","09H02085","UNIDAD EDUCATIVA BILINGUE SAGRADOS CORAZONES",0,0,0,0,91.21,145.94,120.52,192.84,120.52,192.84,136.82,218.91
"09D01","COSTA","GUAYAS","09H02085","UNIDAD EDUCATIVA BILINGUE SAGRADOS CORAZONES (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,91.51,146.42,120.83,193.32,120.83,193.32,137.12,219.39
"09D01","COSTA","GUAYAS","09H02095","ESCUELA DE EDUACION BÁSICA NELA MARTINEZ ESPINOZA",0,0,0,0,0,0,23.64,37.82,23.64,37.82,0,0
"09D01","COSTA","GUAYAS","09H02131","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR MEDARDO ANGEL SILVA",0,0,0,0,21.87,34.99,21.87,34.99,0,0,0,0
"09D01","COSTA","GUAYAS","09H02132","CUIDAD DE PORTOVIEJO PARTICULAR",0,0,0,0,0,0,24.88,39.8,0,0,0,0
"09D01","COSTA","GUAYAS","09H02133","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR SIETE LAGOS",0,0,0,0,0,0,20.62,33,0,0,0,0
"09D01","COSTA","GUAYAS","09H02155","CENTRO DE EDUCACIÓN INICAL LOS CONEJITOS",0,0,0,0,54.03,86.45,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02157","CENTRO DE EDUCACIÓN INICIAL MANUELA CAÑIZARES",0,0,135,180,43.75,70,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02159","EMPRENDEDORES DEL FUTURO",0,0,0,0,10.31,16.5,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02162","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR PRESIDENTE ALFARO",0,0,0,0,0,0,45.14,72.23,0,0,0,0
"09D01","COSTA","GUAYAS","09H02201","CENTRO DE EDUCACIÓN INICAL EDUARDO Y GRACE",0,0,0,0,42.06,67.3,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02211","UNIDAD EDUCATIVA VIDA NUEVA",0,0,0,0,78.64,125.82,86.01,137.62,86.01,137.62,102.44,163.91
"09D01","COSTA","GUAYAS","09H02214","EUROAMERICA",0,0,0,0,0,0,15,24,0,0,0,0
"09D01","COSTA","GUAYAS","09H02216","CENTRO DE EDUCACIÓN INICIAL MARÍA MONTESSORI",0,0,121.59,194.55,0,0,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02219","CENTRO DE EDUCACIÓN INICIAL GLOBITOS DE COLORES",0,0,0,0,71.04,113.67,0,0,0,0,0,0
"09D01","COSTA","GUAYAS","09H02223","ESCUELA MATILDE HIDALGO DE PROCEL",0,0,0,0,21.44,34.31,20.92,33.48,0,0,0,0
"09D01","COSTA","GUAYAS","09H02253","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR NUEVO MILENIO",0,0,0,0,25.99,41.59,31.41,50.26,0,0,0,0
"09D01","COSTA","GUAYAS","09H02260","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR CIUDAD DE JERUSALÉN",0,0,0,0,17.32,27.72,17.32,27.72,0,0,0,0
"09D01","COSTA","GUAYAS","09H02263","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR SAN PÍO DE PIETRELCINA",0,0,0,0,18.88,30.2,18.88,30.2,18.88,30.2,0,0
"09D01","COSTA","GUAYAS","09H02263","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR SAN PÍO DE PIETRELCINA (PARA TODOS LOS ESTUDIANTES NUEVOS QUE INGRESARON A PARTIR DEL PERÍODO 2016-2017)",0,0,0,0,18.94,30.3,18.94,30.3,18.94,30.3,0,0
"09D01","COSTA","GUAYAS","09H02272","UNIDAD EDUCATIVA LUZ Y SABER",0,0,0,0,19.12,30.59,19.12,30.59,19.12,30.59,0,0
"09D01","COSTA","GUAYAS","09H02278","ESCUELA DE EDUCACIÓN BÁSICA MIGUEL FEBRES CORDERO",0,0,0,0,17.13,27.4,15.19,24.31,15.15,24.24,0,0
"09D01","COSTA","GUAYAS","09H02299","ORIENTE ECUATORIANO",0,0,0,0,28.35,45.36,28.35,45.36,28.35,45.36,28.35,45.36
"09D01","COSTA","GUAYAS","09H02312","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR TELMO MARQUINA ANCHUNDIA",0,0,0,0,0,0,18.1,28.96,0,0,0,0
"09D01","COSTA","GUAYAS","09H02313","SEÑOR DE LA JUSTICIA",0,0,0,0,21.67,34.67,21.67,34.67,21.67,34.67,0,0
"09D01","COSTA","GUAYAS","09H02317","ESCUELA DE EDUCACIÓN BÁSICA PARTICULAR ECUADOR",0,0,0,0,0,0,6.75,10.8,0,0,0,0
